candidate_id,iso,stratum,lat,lng,pred,p_farm,p_poultry,p_pigs,true,split
VNM_cluster_4450,VNM,borderline,11.292902011648447,106.87040143626196,Poultry,0.526,0.507,0.018,,predict
VNM_cluster_1279,VNM,borderline,21.35554206179449,105.65476768218784,NotFarm,0.44,0.376,0.062,,predict
VNM_cluster_4899,VNM,borderline,11.466437085243005,106.46291214060496,Poultry,0.567,0.547,0.019,,predict
VNM_cluster_2968,VNM,borderline,10.628103786012916,106.19594471099307,Poultry,0.585,0.563,0.019,,predict
VNM_cluster_5240,VNM,borderline,11.2774047998919,106.63861218493992,NotFarm,0.414,0.405,0.007,,predict
VNM_cluster_5774,VNM,borderline,12.668704373147628,107.77827169134908,Pigs,0.592,0.133,0.409,,predict
VNM_cluster_1914,VNM,borderline,21.087563411184004,105.2707731782329,NotFarm,0.44,0.348,0.088,,predict
VNM_cluster_4173,VNM,borderline,10.976947577062388,107.44779152678554,NotFarm,0.472,0.468,0.004,,predict
VNM_cluster_7225,VNM,borderline,12.78311255785873,108.18483963645753,Poultry,0.53,0.479,0.05,,predict
VNM_cluster_1084,VNM,notfarm_top,18.624572328123648,105.812669188622,NotFarm,0.0,0.0,0.0,,predict
VNM_cluster_4597,VNM,notfarm_top,10.7319292128292,106.3594745070821,NotFarm,0.0,0.0,0.0,,predict
VNM_cluster_3680,VNM,notfarm_top,9.684030893111514,105.7804404104419,NotFarm,0.0,0.0,0.0,,predict
VNM_cluster_6169,VNM,notfarm_top,10.894774358795654,107.038754942375,NotFarm,0.0,0.0,0.0,,predict
VNM_cluster_291,VNM,notfarm_top,20.95050520912023,107.05341586431108,NotFarm,0.0,0.0,0.0,,predict
VNM_cluster_4664,VNM,notfarm_top,10.75755519104208,106.33975660658906,NotFarm,0.0,0.0,0.0,,predict
VNM_cluster_2171,VNM,notfarm_top,16.705199070178374,107.42023201016808,NotFarm,0.0,0.0,0.0,,predict
VNM_cluster_2409,VNM,notfarm_top,10.33093290110307,103.85322111967872,NotFarm,0.0,0.0,0.0,,predict
VNM_cluster_2386,VNM,disagreement,10.742846525788462,105.22284267374096,Poultry,0.997,0.991,0.005,NotFarm,qual_eval
VNM_cluster_8176,VNM,disagreement,14.055753996437891,109.05071587766464,Poultry,0.964,0.963,0.001,NotFarm,qual_eval
VNM_cluster_4043,VNM,disagreement,11.570118218773118,107.5268002845188,Poultry,0.933,0.924,0.008,NotFarm,val
VNM_cluster_1035,VNM,disagreement,20.05363686668938,105.54998219344208,Poultry,0.94,0.884,0.053,NotFarm,qual_eval
VNM_cluster_5163,VNM,disagreement,11.78308627225322,106.61355576355028,Poultry,0.73,0.627,0.094,NotFarm,train
VNM_cluster_8430,VNM,disagreement,13.222728760087351,108.00838200297714,Poultry,0.544,0.523,0.02,NotFarm,val
VNM_cluster_7922,VNM,disagreement,11.342594678836145,108.7418532163086,Poultry,0.836,0.462,0.358,NotFarm,qual_eval
VNM_cluster_4334,VNM,agreement,11.48121901686831,106.9398499859068,NotFarm,0.062,0.03,0.028,NotFarm,train
VNM_cluster_4060,VNM,agreement,11.902595477821816,107.0055146730916,NotFarm,0.073,0.037,0.026,NotFarm,qual_eval
VNM_cluster_5133,VNM,agreement,11.705651924687386,106.1158840091866,NotFarm,0.012,0.008,0.003,NotFarm,train
VNM_cluster_6977,VNM,agreement,13.972224180907638,107.88101432575016,NotFarm,0.407,0.31,0.052,NotFarm,train
VNM_cluster_1019,VNM,agreement,20.36339255617288,105.681459995256,NotFarm,0.029,0.022,0.007,NotFarm,qual_eval
